Sales_Order_ID,Sales_Order_Date,Sales_Employee_ID,Customer_ID,Sales_Order_Quantity_Sold,product_description,Product_Sale_Price,customer_st,customer_city
20001,11/1/2024,1006,2056,10,Pale Ale,95,KS,Wichita
20005,11/1/2024,1006,2012,8,Pale Ale,95,TN,Memphis
20017,11/7/2024,1006,2043,1,Pale Ale,95,TX,Houston
20080,11/29/2024,1007,2021,11,Pale Ale,95,OK,Tulsa
20140,12/20/2024,1006,2002,5,Pale Ale,95,TX,Dallas
20183,1/1/2025,1006,2034,7,Pale Ale,95,NE,Omaha
20223,1/13/2025,1006,2022,1,Pale Ale,95,MO,Springfield
20224,1/13/2025,1006,2007,1,Pale Ale,95,TX,Fort Worth
20227,1/14/2025,1006,2028,2,Pale Ale,95,OK,Oklahoma City
20229,1/14/2025,1006,2019,9,Pale Ale,95,TX,Houston
20280,1/30/2025,1006,2040,7,Pale Ale,95,AR,Fort Smith
20305,2/10/2025,1007,2021,4,Pale Ale,95,OK,Tulsa
20378,3/3/2025,1007,2040,7,Pale Ale,95,AR,Fort Smith
20379,3/3/2025,1006,2020,12,Pale Ale,95,MO,Kansas City
20440,3/19/2025,1007,2039,3,Pale Ale,95,TX,Dallas
20457,3/26/2025,1006,2043,10,Pale Ale,95,TX,Houston
20513,4/13/2025,1007,2025,10,Pale Ale,95,OK,Tulsa
20518,4/14/2025,1007,2049,8,Pale Ale,95,IA,Council Bluffs
20013,11/4/2024,1007,2038,4,Imperial IPA,120,OK,Oklahoma City
20031,11/12/2024,1006,2022,4,Imperial IPA,120,MO,Springfield
20090,12/1/2024,1006,2012,10,Imperial IPA,120,TN,Memphis
20093,12/2/2024,1007,2058,1,Imperial IPA,120,KS,Lawrence
20183,1/1/2025,1006,2034,10,Imperial IPA,120,NE,Omaha
20230,1/15/2025,1006,2022,6,Imperial IPA,120,MO,Springfield
20282,1/31/2025,1006,2050,7,Imperial IPA,120,OK,Oklahoma City
20451,3/24/2025,1006,2008,2,Imperial IPA,120,NE,Omaha
20516,4/13/2025,1006,2039,11,Imperial IPA,120,TX,Dallas
20564,4/28/2025,1007,2001,6,Imperial IPA,120,IA,Des Moines
20013,11/4/2024,1007,2038,2,IPA,100,OK,Oklahoma City
20020,11/7/2024,1006,2032,6,IPA,100,TX,Dallas
20033,11/12/2024,1007,2013,1,IPA,100,MO,Columbia
20040,11/14/2024,1007,2037,2,IPA,100,NE,Omaha
20056,11/21/2024,1006,2021,8,IPA,100,OK,Tulsa
20063,11/22/2024,1006,2034,4,IPA,100,NE,Omaha
20097,12/4/2024,1007,2014,9,IPA,100,LA,New Orleans
20098,12/4/2024,1007,2037,4,IPA,100,NE,Omaha
20103,12/5/2024,1006,2060,7,IPA,100,AR,Little Rock
20137,12/18/2024,1006,2056,10,IPA,100,KS,Wichita
20155,12/23/2024,1006,2056,8,IPA,100,KS,Wichita
20163,12/25/2024,1006,2007,3,IPA,100,TX,Fort Worth
20200,1/7/2025,1007,2043,12,IPA,100,TX,Houston
20217,1/12/2025,1007,2048,11,IPA,100,TX,Amarillo
20233,1/16/2025,1006,2006,7,IPA,100,KS,Wichita 
20261,1/25/2025,1006,2057,6,IPA,100,TN,Memphis 
20285,2/1/2025,1007,2050,2,IPA,100,OK,Oklahoma City
20308,2/11/2025,1006,2004,11,IPA,100,AR,Little Rock
20312,2/12/2025,1006,2021,4,IPA,100,OK,Tulsa
20325,2/15/2025,1006,2058,7,IPA,100,KS,Lawrence
20368,2/29/2025,1007,2047,11,IPA,100,LA,New Orleans
20384,3/4/2025,1007,2037,10,IPA,100,NE,Omaha
20393,3/7/2025,1007,2013,9,IPA,100,MO,Columbia
20404,3/9/2025,1006,2024,1,IPA,100,TX,Austin
20416,3/13/2025,1006,2040,2,IPA,100,AR,Fort Smith
20439,3/19/2025,1007,2056,1,IPA,100,KS,Wichita
20441,3/19/2025,1007,2062,10,IPA,100,AR,North Little Rock
20450,3/24/2025,1007,2046,9,IPA,100,TX,Amarillo
20454,3/25/2025,1006,2022,1,IPA,100,MO,Springfield
20458,3/26/2025,1007,2061,11,IPA,100,MO,Columbia
20460,3/27/2025,1006,2050,6,IPA,100,OK,Oklahoma City
20471,3/29/2025,1007,2025,6,IPA,100,OK,Tulsa
20491,4/7/2025,1006,2060,3,IPA,100,AR,Little Rock
20492,4/8/2025,1006,2057,10,IPA,100,TN,Memphis 
20532,4/17/2025,1007,2060,11,IPA,100,AR,Little Rock
20535,4/19/2025,1007,2045,6,IPA,100,AR,Fayetteville
20543,4/20/2025,1006,2016,3,IPA,100,LA,New Orleans
20545,4/21/2025,1007,2043,1,IPA,100,TX,Houston
20009,11/2/2024,1006,2005,3,Imperial Stout,105,IA,Cedar Rapids
20024,11/8/2024,1007,2033,11,Imperial Stout,105,AR,Fort Smith
20037,11/13/2024,1007,2054,3,Imperial Stout,105,TX,Arlington
20053,11/20/2024,1006,2035,2,Imperial Stout,105,KS,Lenexa
20055,11/20/2024,1007,2039,11,Imperial Stout,105,TX,Dallas
20062,11/22/2024,1007,2001,12,Imperial Stout,105,IA,Des Moines
20068,11/24/2024,1007,2052,9,Imperial Stout,105,OK,Oklahoma City
20106,12/7/2024,1006,2048,1,Imperial Stout,105,TX,Amarillo
20124,12/15/2024,1007,2059,11,Imperial Stout,105,KS,Leawood
20126,12/16/2024,1006,2048,6,Imperial Stout,105,TX,Amarillo
20142,12/20/2024,1007,2042,9,Imperial Stout,105,AR,Springdale
20151,12/22/2024,1007,2049,8,Imperial Stout,105,IA,Council Bluffs
20179,12/30/2024,1006,2036,6,Imperial Stout,105,NE,Omaha
20192,1/6/2025,1007,2061,12,Imperial Stout,105,MO,Columbia
20200,1/7/2025,1007,2043,10,Imperial Stout,105,TX,Houston
